BULAN,KOTA MEULABOH,KOTA BANDA ACEH,KOTA LHOKSEUMAWE,KOTA SIBOLGA,KOTA PEMATANG SIANTAR,KOTA MEDAN,KOTA PADANGSIDIMPUAN,KOTA PADANG,KOTA BUKITTINGGI,TEMBILAHAN,KOTA PEKANBARU,KOTA DUMAI,BUNGO,KOTA JAMBI,KOTA PALEMBANG,KOTA LUBUKLINGGAU,KOTA BENGKULU,KOTA BANDAR LAMPUNG,KOTA METRO,TANJUNG PANDAN,KOTA PANGKAL PINANG,KOTA BATAM,KOTA TANJUNG PINANG,DKI JAKARTA,KOTA BOGOR,KOTA SUKABUMI,KOTA BANDUNG,KOTA CIREBON,KOTA BEKASI,KOTA DEPOK,KOTA TASIKMALAYA,CILACAP,PURWOKERTO,KUDUS,KOTA SURAKARTA,KOTA SEMARANG,KOTA TEGAL,KOTA YOGYAKARTA,JEMBER,BANYUWANGI,SUMENEP,KOTA KEDIRI,KOTA MALANG,KOTA PROBOLINGGO,KOTA MADIUN,KOTA SURABAYA,KOTA TANGERANG,KOTA CILEGON,KOTA SERANG,SINGARAJA,KOTA DENPASAR,KOTA MATARAM,KOTA BIMA,MAUMERE,KOTA KUPANG,KOTA PONTIANAK,KOTA SINGKAWANG,SAMPIT,KOTA PALANGKA RAYA,TANJUNG,KOTA BANJARMASIN,KOTA BALIKPAPAN,KOTA SAMARINDA,KOTA TARAKAN,KOTA MANADO,KOTA PALU,BULUKUMBA,WATAMPONE,KOTA MAKASSAR,KOTA PARE-PARE,KOTA PALOPO,KOTA KENDARI,KOTA BAU-BAU,KOTA GORONTALO,MAMUJU,KOTA AMBON,KOTA TUAL,KOTA TERNATE,MANOKWARI,KOTA SORONG,MERAUKE,KOTA JAYAPURA
Sep-15,0.16,0.13,0.28,0.15,0.41,0.83,0.00,0.24,0.00,0.00,0.20,0.08,0.95,0.04,0.24,0.64,-0.23,0.48,0.08,0.07,-0.17,-0.16,0.04,0.24,0.73,0.85,0.47,0.00,0.17,0.00,0.18,0.18,0.31,0.53,0.08,-0.06,-0.36,0.74,0.00,0.92,0.35,0.19,0.34,0.04,0.43,0.03,0.04,0.47,1.13,0.32,0.18,1.46,0.07,0.03,0.50,-0.05,0.03,-0.17,0.54,0.64,0.19,0.28,-0.13,0.13,0.07,-0.35,0.43,0.07,0.04,0.00,0.13,1.15,0.06,2.23,0.34,0.30,0.06,0.38,-0.15,-0.10,-0.03,0.25
Oct-15,0.08,0.00,0.24,0.00,0.06,0.77,0.00,0.81,0.04,0.00,0.11,0.01,-0.29,0.47,0.25,0.40,0.81,0.88,0.17,-0.05,0.12,-0.16,-0.03,0.06,0.03,0.38,-0.05,0.00,0.06,0.05,0.62,-0.28,0.01,-0.71,0.76,-0.01,-0.01,0.05,0.48,0.48,0.60,0.41,0.21,0.00,0.17,-0.23,1.32,0.29,-0.04,-0.69,0.10,0.13,-0.03,-0.04,-0.28,0.02,-0.19,-0.12,0.04,0.00,0.05,0.23,0.01,-0.32,0.21,-0.76,0.14,0.17,-0.28,0.06,0.04,-0.15,-0.05,0.17,0.72,-0.04,0.44,0.48,-0.12,0.00,0.08,0.18
Nov-15,0.18,0.34,0.76,0.12,0.21,0.11,0.09,1.02,0.01,0.03,-0.05,0.52,0.04,0.24,0.04,0.07,-0.21,0.05,0.00,0.21,0.27,-0.03,0.00,0.41,0.00,0.34,-0.10,0.00,-0.12,0.05,-0.03,0.42,0.18,-0.03,0.34,0.10,0.13,0.26,-0.23,0.00,0.59,0.25,-0.06,0.19,0.45,0.23,0.62,0.16,5.61,-0.12,0.00,0.13,1.13,0.30,0.59,-0.03,0.15,-0.05,-0.50,0.35,0.06,0.06,0.01,0.06,0.20,-0.68,-0.04,0.44,-0.10,0.07,0.06,0.09,0.06,0.50,0.06,-0.04,0.00,0.01,0.06,1.92,0.02,0.25
Dec-15,0.04,0.38,0.44,0.77,-0.07,-0.24,0.02,0.61,0.04,0.00,-0.20,0.08,0.09,0.18,0.06,0.00,-0.06,0.00,0.06,0.00,0.25,-0.04,0.00,0.29,-0.06,0.07,0.37,-0.04,-0.15,0.03,-0.03,-0.13,0.24,0.02,0.19,0.09,0.28,0.18,1.23,-0.03,0.02,-0.03,0.08,-0.07,0.02,0.73,0.09,-0.96,0.33,0.14,0.17,0.02,0.05,-0.03,2.63,-0.02,0.01,0.13,-0.15,0.42,0.00,-0.08,0.41,0.25,0.90,0.25,0.07,0.14,0.32,0.08,0.30,0.15,0.42,0.10,-0.20,0.01,0.14,0.31,-0.01,0.06,-0.01,0.18
Jan-16,0.23,-0.80,0.16,0.04,1.00,0.54,0.02,0.04,0.73,0.18,-0.14,-0.01,-0.16,0.16,0.47,1.08,0.54,0.00,0.00,0.62,0.80,-0.04,0.62,0.00,0.24,0.07,-0.03,-0.08,0.07,-0.01,1.85,-0.23,-0.03,0.11,0.03,0.38,0.07,0.74,-0.02,0.06,0.22,0.16,0.21,0.80,0.49,0.73,-0.09,0.42,0.24,0.00,0.28,0.52,3.06,3.99,1.04,-0.02,-0.19,-0.04,-0.03,0.36,0.24,0.21,-0.02,-0.23,-0.91,0.08,-0.06,0.94,0.22,0.07,-0.10,1.68,0.96,0.17,-0.03,-0.65,4.55,0.26,-0.03,6.01,0.12,0.25
Feb-16,0.10,-0.05,-0.08,-0.31,0.12,0.18,0.01,-0.23,0.00,0.00,0.23,0.03,-0.12,0.55,0.26,0.82,0.69,0.03,2.72,0.00,0.12,0.14,0.06,0.19,0.32,0.04,0.45,-0.04,0.12,-0.02,-0.01,-0.01,-0.26,-0.07,0.40,-0.07,-0.04,1.10,0.26,0.00,0.18,0.20,0.00,-0.23,-0.16,0.08,0.00,0.00,-0.27,0.00,0.05,-0.19,0.18,0.68,-1.66,0.02,0.00,0.20,-0.09,-0.45,0.61,-0.01,0.77,-0.23,-0.29,0.00,0.27,0.18,-0.10,1.69,0.54,-0.09,0.04,0.27,0.03,0.00,0.11,0.55,0.00,-0.08,0.08,0.14
Mar-16,-0.04,-0.27,-0.04,-0.12,0.68,0.51,-0.03,-0.09,0.02,0.06,0.04,0.00,1.54,1.21,0.12,0.05,0.08,0.00,0.48,0.00,1.33,0.22,0.33,0.00,0.08,-0.01,0.04,0.01,0.00,-0.05,-0.04,-0.13,0.10,-0.08,1.35,0.02,0.04,0.06,0.03,-0.02,0.48,-0.42,-0.02,0.15,-0.22,0.03,-0.02,-0.07,0.38,0.00,0.00,-0.30,0.04,0.50,-0.02,0.28,0.00,-0.08,1.55,-0.17,0.00,0.06,0.00,0.06,-0.10,-0.09,0.12,0.20,0.03,-0.17,0.32,-1.60,-0.05,0.17,0.15,0.65,0.01,-0.26,0.13,0.59,0.10,0.08
Apr-16,-0.07,0.02,0.18,0.34,-0.05,-0.07,0.08,0.00,0.00,0.00,-0.02,0.00,0.19,0.73,-0.02,0.21,0.03,0.00,-0.25,0.18,-0.02,0.00,0.00,0.11,0.16,0.04,-0.01,-0.01,0.01,-0.04,0.00,0.06,-0.03,0.16,0.03,0.43,-0.12,0.11,0.43,0.84,0.03,0.16,0.00,0.78,-0.25,-0.28,-0.04,-0.05,0.13,0.14,0.00,0.10,0.02,-0.19,-0.25,-0.10,-0.11,1.16,-1.42,-0.55,0.93,-0.06,1.86,-0.10,0.00,0.14,-0.02,0.17,0.09,0.02,-0.96,-0.03,-0.01,-0.16,0.02,-0.04,0.00,0.25,0.60,0.00,-0.27,0.05
May-16,-0.03,0.11,0.29,0.64,-0.07,0.18,0.08,0.06,0.00,0.00,-0.12,-0.03,-0.38,0.60,-0.14,-0.05,-0.03,-0.04,-0.11,0.02,0.08,-0.01,0.03,0.39,0.60,0.00,0.07,-0.03,0.07,0.00,0.06,0.02,-0.36,-0.03,0.03,0.08,-0.53,0.24,0.03,-0.46,0.03,-0.08,-0.43,0.14,0.00,-0.03,-0.01,0.14,0.12,0.14,-0.01,0.10,0.76,0.03,-0.57,-0.04,-0.09,0.15,0.30,0.02,0.00,-0.02,-0.06,-0.06,0.18,0.13,0.12,0.11,0.00,-0.09,0.25,0.07,-0.02,-0.32,0.10,-3.28,0.00,0.44,0.00,0.16,0.11,0.10
Jun-16,0.02,-0.10,0.04,0.28,0.23,0.32,0.20,0.00,0.00,0.00,-0.05,0.00,0.18,-0.58,0.05,0.02,-0.01,-0.10,0.67,0.01,0.20,-0.04,0.26,0.03,0.41,0.04,0.00,0.40,0.00,-0.10,0.10,0.21,-0.03,0.27,0.16,0.35,0.18,0.09,-0.29,-0.21,0.97,-0.23,-0.33,-0.17,0.00,0.34,0.00,0.14,-0.03,0.00,0.00,-0.04,0.80,-0.01,-0.06,-0.03,-0.06,0.89,-0.04,0.04,0.26,-0.12,0.00,0.05,0.34,0.13,0.00,0.03,-0.26,3.98,0.15,0.09,-0.04,-0.02,0.20,-0.99,0.08,-0.03,0.48,0.01,0.19,0.09
