"Date","Price","Open","High","Low","Change %"
"Mar 19","14,235.0","14,098.5","14,340.0","14,084.5","1.24%"
"Feb 19","14,060.0","13,945.0","14,157.5","13,887.5","0.64%"
"Jan 19","13,970.0","14,445.0","14,492.5","13,960.0","-2.82%"
"Dec 18","14,375.0","14,265.0","14,655.0","14,210.0","0.52%"
"Nov 18","14,300.0","15,202.5","15,211.5","14,260.0","-5.92%"
"Oct 18","15,200.0","14,895.0","15,272.5","14,890.0","2.01%"
"Sep 18","14,900.0","14,740.0","14,950.0","14,740.0","1.19%"
"Aug 18","14,725.0","14,435.0","14,735.0","14,393.0","2.15%"
"Jul 18","14,415.0","14,255.0","14,565.0","14,255.0","0.63%"
"Jun 18","14,325.0","13,870.0","14,415.0","13,835.0","3.13%"
"May 18","13,890.0","13,917.5","14,212.5","13,873.5","-0.14%"
"Apr 18","13,910.0","13,745.0","13,940.0","13,740.0","1.09%"
"Mar 18","13,760.0","13,790.0","13,805.0","13,700.0","0.15%"
"Feb 18","13,740.0","13,390.0","13,755.0","13,390.0","2.64%"
"Jan 18","13,387.0","13,540.0","13,555.0","13,267.5","-1.31%"
"Dec 17","13,565.0","13,535.0","13,595.0","13,511.5","0.30%"
"Nov 17","13,524.0","13,585.0","13,596.5","13,470.0","-0.27%"
"Oct 17","13,560.0","13,480.0","13,645.0","13,457.5","0.67%"
"Sep 17","13,470.0","13,342.5","13,555.0","13,140.0","0.96%"
"Aug 17","13,342.0","13,317.5","13,382.5","13,301.0","0.14%"
"Jul 17","13,324.0","13,315.0","13,412.5","13,297.5","-0.01%"
"Jun 17","13,325.0","13,312.5","13,327.5","13,274.0","0.03%"
"May 17","13,321.0","13,330.0","13,420.0","13,287.0","-0.05%"
"Apr 17","13,327.0","13,322.5","13,347.5","13,250.5","0.03%"
"Mar 17","13,323.0","13,362.5","13,397.5","13,297.5","-0.06%"
"Feb 17","13,331.0","13,350.0","13,387.5","13,290.0","-0.12%"
"Jan 17","13,347.0","13,485.0","13,497.5","13,270.0","-0.91%"
"Dec 16","13,470.0","13,585.0","13,592.5","13,275.0","-0.59%"
"Nov 16","13,550.0","13,032.5","13,587.5","13,030.0","3.86%"
"Oct 16","13,047.0","13,035.0","13,080.0","12,955.0","0.00%"
"Sep 16","13,047.0","13,275.0","13,284.0","12,920.0","-1.64%"
"Aug 16","13,265.0","13,090.0","13,308.0","13,065.0","1.28%"
"Jul 16","13,097.0","13,180.0","13,192.5","13,071.5","-0.86%"
"Jun 16","13,210.0","13,662.5","13,800.0","13,140.0","-3.26%"
"May 16","13,655.0","13,210.0","13,695.0","13,140.0","3.60%"
"Apr 16","13,180.0","13,200.0","13,252.5","13,085.0","-0.57%"
"Mar 16","13,255.0","13,350.0","13,440.0","12,975.0","-0.84%"
"Feb 16","13,367.0","13,760.0","13,825.0","13,297.5","-2.93%"
"Jan 16","13,770.0","13,825.0","13,987.5","13,755.0","-0.11%"
"Dec 15","13,785.0","13,837.5","14,095.0","13,555.0","-0.33%"
"Nov 15","13,830.0","13,675.0","13,847.5","13,430.0","1.13%"
"Oct 15","13,675.0","14,640.0","14,710.0","13,225.0","-6.62%"
"Sep 15","14,645.0","14,070.0","14,740.0","14,052.5","4.27%"
"Aug 15","14,045.0","13,507.5","14,140.0","13,474.5","3.84%"
"Jul 15","13,525.0","13,350.0","13,530.0","13,280.0","1.46%"
"Jun 15","13,330.0","13,210.0","13,388.5","13,192.0","0.81%"
"May 15","13,223.0","12,985.0","13,243.0","12,976.0","2.03%"
"Apr 15","12,960.0","13,070.0","13,077.5","12,805.0","-0.84%"
"Mar 15","13,070.0","12,975.0","13,248.0","12,900.0","1.16%"
"Feb 15","12,920.0","12,710.0","12,945.0","12,587.5","2.01%"
"Jan 15","12,665.0","12,425.0","12,757.5","12,410.0","2.30%"
"Dec 14","12,380.0","12,235.0","12,940.0","12,235.0","1.48%"
"Nov 14","12,199.0","12,117.5","12,228.0","12,080.0","0.99%"
"Oct 14","12,080.0","12,172.5","12,252.5","11,965.0","-0.82%"
"Sep 14","12,180.0","11,710.0","12,255.0","11,695.0","4.24%"
"Aug 14","11,685.0","11,595.0","11,860.0","11,595.0","0.95%"
"Jul 14","11,575.0","11,845.0","12,015.0","11,480.0","-2.28%"
"Jun 14","11,845.0","11,725.0","12,110.0","11,716.0","1.50%"
"May 14","11,670.0","11,545.0","11,675.0","11,340.5","0.97%"
"Apr 14","11,558.0","11,275.0","11,662.5","11,258.5","1.79%"
"Mar 14","11,355.0","11,615.0","11,672.5","11,250.0","-2.15%"
"Feb 14","11,604.0","12,240.0","12,260.0","11,577.5","-4.92%"
"Jan 14","12,205.0","12,225.0","12,307.5","12,020.0","0.37%"
"Dec 13","12,160.0","11,955.0","12,309.0","11,697.5","1.71%"
"Nov 13","11,955.0","11,305.0","12,025.0","11,297.5","6.13%"
"Oct 13","11,265.0","11,625.0","11,625.0","10,922.5","-2.64%"
"Sep 13","11,570.0","10,922.5","11,679.5","10,917.5","6.05%"
"Aug 13","10,910.0","10,280.0","10,955.0","10,277.5","6.23%"
"Jul 13","10,270.0","9,930.0","10,290.0","9,927.0","3.53%"
"Jun 13","9,920.0","9,810.0","9,974.0","9,782.5","1.33%"
"May 13","9,790.0","9,725.0","9,815.5","9,722.5","0.72%"
"Apr 13","9,720.0","9,720.0","9,777.0","9,671.5","0.05%"
"Mar 13","9,715.0","9,669.5","9,793.5","9,669.5","0.57%"
"Feb 13","9,660.0","9,697.5","9,777.5","9,602.5","-0.31%"
"Jan 13","9,690.0","9,660.0","9,795.0","9,617.5","0.62%"
"Dec 12","9,630.0","9,591.5","9,740.0","9,591.5","0.44%"
"Nov 12","9,588.0","9,625.0","9,642.5","9,582.5","-0.13%"
"Oct 12","9,600.0","9,590.0","9,632.5","9,573.5","0.37%"
"Sep 12","9,565.0","9,562.5","9,594.0","9,446.5","0.37%"
"Aug 12","9,530.0","9,465.0","9,582.5","9,442.5","0.95%"
"Jul 12","9,440.0","9,385.0","9,547.5","9,305.0","0.59%"
"Jun 12","9,385.0","9,345.0","9,505.0","9,295.0","-0.05%"
"May 12","9,390.0","9,192.5","9,612.5","9,147.5","2.20%"
"Apr 12","9,188.0","9,170.0","9,199.0","9,085.0","0.54%"
"Mar 12","9,139.0","9,050.0","9,211.0","9,065.0","1.43%"
"Feb 12","9,010.0","9,005.0","9,180.0","8,870.0","0.33%"
"Jan 12","8,980.0","9,100.0","9,210.5","8,875.0","-0.88%"
"Dec 11","9,060.0","9,070.0","9,190.0","8,995.0","-0.49%"
"Nov 11","9,105.0","8,860.0","9,231.0","8,870.0","2.88%"
"Oct 11","8,850.0","8,800.0","8,975.0","8,790.0","0.80%"
"Sep 11","8,780.0","8,530.0","9,112.5","8,534.5","2.95%"
"Aug 11","8,528.0","8,488.0","8,587.5","8,457.5","0.39%"
"Jul 11","8,495.0","8,573.0","8,577.5","8,484.0","-0.91%"
"Jun 11","8,573.0","8,535.0","8,628.0","8,502.5","0.48%"
"May 11","8,532.0","8,540.0","8,607.5","8,526.5","-0.36%"
"Apr 11","8,563.0","8,698.0","8,709.5","8,562.5","-1.63%"
"Mar 11","8,705.0","8,805.0","8,841.5","8,702.5","-1.28%"
"Feb 11","8,818.0","9,030.0","9,045.0","8,802.5","-2.49%"
"Jan 11","9,043.0","8,980.0","9,093.0","8,956.0","0.42%"
"Dec 10","9,005.0","9,035.0","9,058.5","8,973.5","-0.27%"
"Nov 10","9,029.0","8,925.0","9,044.0","8,883.5","1.05%"
"Oct 10","8,935.0","8,918.0","8,963.5","8,904.0","0.11%"
"Sep 10","8,925.0","9,040.0","9,041.0","8,915.0","-1.22%"
"Aug 10","9,035.0","8,945.0","9,050.0","8,927.0","1.06%"
"Jul 10","8,940.0","9,080.0","9,104.0","8,938.0","-1.32%"
"Jun 10","9,060.0","9,205.0","9,300.0","9,000.0","-1.25%"
"May 10","9,175.0","9,030.0","9,385.0","9,015.0","1.80%"
"Apr 10","9,012.5","9,085.5","9,144.5","8,901.5","-0.85%"
"Mar 10","9,090.0","9,305.0","9,375.0","9,006.0","-2.65%"
"Feb 10","9,337.0","9,360.0","9,497.0","9,200.0","-0.14%"
"Jan 10","9,350.0","9,396.0","9,455.0","9,115.0","-0.80%"
"Dec 09","9,425.0","9,480.0","9,520.0","9,385.0","-0.32%"
"Nov 09","9,455.0","9,670.0","9,670.0","9,310.0","-0.99%"
"Oct 09","9,550.0","9,610.0","9,710.0","9,260.0","-0.98%"
"Sep 09","9,645.0","10,105.0","10,175.0","9,565.0","-4.32%"
"Aug 09","10,080.0","9,905.0","10,105.0","9,840.0","1.56%"
"Jul 09","9,925.0","10,225.0","10,260.0","9,900.0","-2.77%"
"Jun 09","10,207.5","10,242.5","10,477.5","9,907.5","-0.80%"
"May 09","10,290.0","10,590.0","10,665.0","10,230.0","-2.79%"
"Apr 09","10,585.0","11,560.0","11,615.0","10,565.0","-8.39%"
"Mar 09","11,555.0","12,015.0","12,170.0","11,360.0","-3.55%"
"Feb 09","11,980.0","11,655.0","12,030.0","11,555.0","5.27%"
"Jan 09","11,380.0","10,960.0","11,385.0","10,710.0","4.40%"
"Dec 08","10,900.0","12,150.0","12,350.0","10,800.0","-9.36%"
"Nov 08","12,025.0","10,775.0","12,675.0","10,725.0","10.32%"
"Oct 08","10,900.0","9,530.0","11,950.0","9,530.0","15.77%"
"Sep 08","9,415.0","9,155.0","9,475.0","9,155.0","2.90%"
"Aug 08","9,150.0","9,090.0","9,225.0","9,062.0","0.60%"
"Jul 08","9,095.0","9,225.0","9,235.0","9,085.0","-1.36%"
"Jun 08","9,220.0","9,310.0","9,360.0","9,195.0","-1.02%"
"May 08","9,315.0","9,230.0","9,385.0","9,209.0","1.01%"
"Apr 08","9,222.0","9,205.0","9,250.0","9,150.0","0.08%"
"Mar 08","9,215.0","9,080.0","9,345.0","9,060.0","1.65%"
"Feb 08","9,065.0","9,235.0","9,290.0","9,042.0","-1.96%"
"Jan 08","9,246.5","9,387.5","9,501.5","9,241.5","-1.55%"
"Dec 07","9,392.5","9,375.5","9,453.5","9,232.5","0.24%"
"Nov 07","9,370.0","9,090.0","9,427.0","9,070.0","3.00%"
"Oct 07","9,097.5","9,112.5","9,197.5","9,037.5","-0.52%"
"Sep 07","9,145.0","9,392.0","9,452.0","9,115.0","-2.61%"
"Aug 07","9,390.0","9,235.0","9,487.0","9,230.0","1.79%"
"Jul 07","9,225.0","9,015.0","9,259.0","8,989.0","2.10%"
"Jun 07","9,035.0","8,835.0","9,150.0","8,760.0","2.36%"
"May 07","8,827.0","9,085.0","9,102.0","8,645.0","-2.87%"
"Apr 07","9,088.0","9,115.0","9,131.0","9,064.0","-0.35%"
"Mar 07","9,120.0","9,145.0","9,265.0","9,075.0","-0.13%"
"Feb 07","9,131.5","9,073.5","9,198.5","9,033.5","0.35%"
"Jan 07","9,100.0","8,980.0","9,181.0","8,935.0","1.18%"
"Dec 06","8,993.5","9,157.5","9,195.5","8,982.5","-1.87%"
"Nov 06","9,165.0","9,090.0","9,225.0","9,075.0","0.78%"
"Oct 06","9,094.0","9,220.0","9,252.0","9,085.0","-1.21%"
"Sep 06","9,205.0","9,105.0","9,265.0","9,075.0","0.97%"
"Aug 06","9,117.0","9,082.0","9,177.0","9,050.0","0.24%"
"Jul 06","9,095.0","9,190.0","9,311.0","9,010.0","-1.81%"
"Jun 06","9,263.0","9,286.0","9,561.0","9,234.0","0.09%"
"May 06","9,255.0","8,790.0","9,430.0","8,695.0","5.35%"
"Apr 06","8,785.0","9,085.0","9,093.0","8,770.0","-3.32%"
"Mar 06","9,087.0","9,165.0","9,410.0","9,010.0","-1.04%"
"Feb 06","9,182.5","9,375.5","9,375.5","9,175.5","-2.00%"
"Jan 06","9,370.0","9,830.0","9,840.0","9,310.0","-4.68%"
"Dec 05","9,830.0","10,040.0","10,055.0","9,640.0","-1.95%"
"Nov 05","10,025.0","10,130.0","10,207.0","9,920.0","-0.96%"
"Oct 05","10,122.5","10,457.5","10,457.5","9,927.5","-1.72%"
"Sep 05","10,300.0","10,410.0","10,610.0","9,990.0","0.00%"
"Aug 05","10,300.0","9,925.0","11,725.0","9,835.0","5.05%"
"Jul 05","9,805.0","9,770.0","9,905.0","9,705.0","0.46%"
"Jun 05","9,760.0","9,518.0","9,763.0","9,518.0","2.54%"
"May 05","9,518.0","9,550.0","9,568.0","9,418.0","-0.54%"
"Apr 05","9,570.0","9,502.0","9,812.0","9,437.0","1.05%"
"Mar 05","9,471.0","9,267.0","9,537.0","9,247.0","2.23%"
"Feb 05","9,264.5","9,172.5","9,322.5","9,167.5","1.09%"
"Jan 05","9,165.0","9,325.0","9,335.0","9,105.0","-1.27%"
"Dec 04","9,282.5","9,012.5","9,387.5","9,007.5","3.14%"
"Nov 04","9,000.0","9,090.0","9,130.0","8,912.0","-0.96%"
"Oct 04","9,087.5","9,127.5","9,182.5","9,021.5","-0.68%"
"Sep 04","9,149.5","9,352.5","9,390.5","8,907.5","-2.33%"
"Aug 04","9,367.5","9,137.5","9,377.5","9,102.5","2.47%"
"Jul 04","9,142.0","9,380.0","9,395.0","8,790.0","-2.69%"
"Jun 04","9,395.0","9,300.0","9,575.0","9,239.0","1.38%"
"May 04","9,267.5","8,707.5","9,333.5","8,687.5","5.52%"
"Apr 04","8,783.0","8,643.0","8,796.0","8,643.0","2.56%"
"Mar 04","8,563.5","8,452.5","8,672.5","8,442.5","1.28%"
"Feb 04","8,455.0","8,450.0","8,480.0","8,380.0","-0.04%"
"Jan 04","8,458.5","8,461.5","8,465.5","8,290.5","0.43%"
"Dec 03","8,422.5","8,537.5","8,537.5","8,422.5","-0.97%"
"Nov 03","8,505.0","8,505.0","8,570.0","8,437.0","0.10%"
"Oct 03","8,496.5","8,376.5","8,601.5","8,345.5","1.21%"
"Sep 03","8,395.0","8,490.0","8,520.0","8,375.0","-1.06%"
"Aug 03","8,485.0","8,495.0","8,680.0","8,368.0","-0.29%"
"Jul 03","8,510.0","8,275.0","8,710.0","8,163.0","3.15%"
"Jun 03","8,250.0","8,340.0","8,365.0","8,135.0","-0.72%"
"May 03","8,310.0","8,680.0","8,703.0","8,095.0","-4.19%"
"Apr 03","8,673.5","8,899.5","8,907.5","8,630.5","-2.56%"
"Mar 03","8,901.5","8,884.5","9,148.5","8,823.5","0.20%"
"Feb 03","8,883.5","8,870.5","8,984.5","8,842.5","0.15%"
"Jan 03","8,870.0","8,965.0","9,000.0","8,805.0","-0.89%"
"Dec 02","8,950.0","8,985.0","9,001.0","8,800.0","-0.31%"
"Nov 02","8,977.5","9,235.5","9,239.5","8,900.5","-2.74%"
"Oct 02","9,230.0","8,992.0","9,382.0","8,952.0","2.62%"
"Sep 02","8,994.0","8,854.0","9,084.0","8,804.0","1.57%"
"Aug 02","8,855.0","9,050.0","9,180.0","8,755.0","-2.31%"
"Jul 02","9,064.5","8,709.5","9,289.5","8,678.5","4.03%"
"Jun 02","8,713.0","8,675.0","9,065.0","8,435.0","0.18%"
"May 02","8,697.5","9,337.5","9,362.5","8,647.5","-6.78%"
"Apr 02","9,330.0","9,795.0","9,840.0","9,215.0","-5.04%"
"Mar 02","9,825.0","10,165.0","10,200.0","9,455.0","-3.20%"
"Feb 02","10,150.0","10,315.0","10,350.0","10,010.0","-1.60%"
"Jan 02","10,315.0","10,360.0","10,520.0","10,230.0","-0.82%"
"Dec 01","10,400.0","10,450.0","10,600.0","9,970.0","-0.62%"
"Nov 01","10,465.0","10,515.0","10,990.0","10,245.0","-0.10%"
"Oct 01","10,475.0","9,650.0","10,495.0","9,650.0","7.91%"
"Sep 01","9,707.5","8,762.5","9,762.5","8,687.5","9.53%"
"Aug 01","8,862.5","9,482.5","9,728.5","8,212.5","-6.71%"
"Jul 01","9,500.0","11,350.0","11,399.0","9,365.0","-16.59%"
"Jun 01","11,390.0","10,985.0","11,460.0","10,985.0","2.38%"
"May 01","11,125.0","11,425.0","11,745.0","10,725.0","-4.09%"
"Apr 01","11,600.0","10,400.0","12,265.0","10,375.0","11.35%"
"Mar 01","10,417.5","9,812.5","11,212.5","9,749.5","5.60%"
"Feb 01","9,865.0","9,455.0","9,945.0","9,455.0","4.39%"
"Jan 01","9,450.0","9,685.0","9,745.0","9,325.0","-2.33%"
"Dec 00","9,675.0","9,550.0","9,800.0","9,180.0","1.52%"
"Nov 00","9,530.0","9,320.0","9,590.0","9,045.0","1.95%"
"Oct 00","9,347.5","8,792.5","9,505.5","8,702.5","6.71%"
"Sep 00","8,760.0","8,325.0","8,910.0","8,235.0","5.23%"
"Aug 00","8,325.0","8,925.0","9,010.0","8,025.0","-6.72%"
"Jul 00","8,925.0","8,735.0","9,595.0","8,735.0","1.88%"
"Jun 00","8,760.0","8,655.0","8,773.0","8,265.0","1.33%"
"May 00","8,645.0","7,950.0","8,775.0","7,825.0","9.09%"
"Apr 00","7,925.0","7,605.0","8,085.0","7,570.0","4.69%"
"Mar 00","7,570.0","7,440.0","7,665.0","7,265.0","1.82%"
"Feb 00","7,435.0","7,455.0","7,705.0","7,155.0","-0.13%"
"Jan 00","7,445.0","7,065.0","7,520.0","6,875.0","6.55%"
"Dec 99","6,987.5","7,292.5","7,367.5","6,902.5","-4.48%"
"Nov 99","7,315.0","6,800.0","7,505.0","6,625.0","7.18%"
"Oct 99","6,825.0","8,325.0","8,375.0","6,625.0","-17.77%"
"Sep 99","8,300.0","7,650.0","8,995.0","7,575.0","8.14%"
"Aug 99","7,675.0","6,875.0","8,175.0","6,805.0","11.56%"
"Jul 99","6,880.0","6,725.0","7,105.0","6,525.0","2.61%"
"Jun 99","6,705.0","8,125.0","8,215.0","6,505.0","-17.38%"
"May 99","8,115.0","7,975.0","8,235.0","7,525.0","1.22%"
"Apr 99","8,017.5","8,637.5","8,827.5","8,007.5","-7.31%"
"Mar 99","8,650.0","8,850.0","9,620.0","8,375.0","-1.70%"
"Feb 99","8,800.0","8,850.0","9,050.0","8,370.0","-0.56%"
"Jan 99","8,850.0","7,875.0","9,500.0","7,650.0","10.63%"
"Dec 98","8,000.0","7,600.0","8,325.0","7,400.0","7.56%"
"Nov 98","7,437.5","7,587.5","9,237.5","7,037.5","-2.14%"
"Oct 98","7,600.0","10,600.0","11,075.0","7,000.0","-28.97%"
"Sep 98","10,700.0","11,100.0","12,400.0","10,300.0","-3.17%"
"Aug 98","11,050.0","13,450.0","13,700.0","10,650.0","-15.97%"
"Jul 98","13,150.0","14,650.0","15,650.0","12,650.0","-11.15%"
"Jun 98","14,800.0","11,350.0","16,950.0","10,400.0","29.26%"
"May 98","11,450.0","8,200.0","14,200.0","8,075.0","43.13%"
"Apr 98","8,000.0","8,600.0","8,900.0","7,400.0","-8.05%"
"Mar 98","8,700.0","8,950.0","12,400.0","8,100.0","-2.79%"
"Feb 98","8,950.0","10,100.0","11,100.0","6,600.0","-10.95%"
"Jan 98","10,050.0","5,720.0","15,650.0","5,600.0","81.08%"
"Dec 97","5,550.0","3,800.0","6,300.0","3,790.0","51.64%"
"Nov 97","3,660.0","3,580.0","3,692.0","3,200.0","1.67%"
"Oct 97","3,600.0","3,280.0","3,870.0","3,280.0","10.09%"
"Sep 97","3,270.0","2,920.0","3,295.0","2,850.0","11.41%"
"Aug 97","2,935.0","2,625.0","3,065.0","2,585.0","12.24%"
"Jul 97","2,615.0","2,436.8","2,660.0","2,425.0","7.55%"
"Jun 97","2,431.5","2,430.5","2,432.9","2,424.5","-0.08%"
"May 97","2,433.5","2,429.5","2,447.0","2,418.5","0.14%"
"Apr 97","2,430.0","2,401.5","2,441.0","2,397.0","1.21%"
"Mar 97","2,401.0","2,397.0","2,407.7","2,391.0","0.19%"
"Feb 97","2,396.5","2,378.0","2,399.5","2,373.5","0.84%"
"Jan 97","2,376.5","2,362.5","2,384.5","2,360.5","0.61%"
"Dec 96","2,362.0","2,345.5","2,364.8","2,345.0","0.72%"
"Nov 96","2,345.0","2,329.5","2,347.5","2,326.5","0.67%"
"Oct 96","2,329.3","2,322.0","2,333.0","2,318.0","0.28%"
"Sep 96","2,322.8","2,343.0","2,351.1","2,317.0","-0.82%"
"Aug 96","2,342.0","2,351.5","2,353.0","2,336.5","-0.45%"
"Jul 96","2,352.5","2,328.5","2,365.5","2,326.5","1.12%"
"Jun 96","2,326.5","2,332.5","2,337.5","2,318.5","-0.26%"
"May 96","2,332.5","2,327.5","2,336.2","2,323.5","0.17%"
"Apr 96","2,328.5","2,337.5","2,341.5","2,322.5","-0.41%"
"Mar 96","2,338.0","2,316.5","2,344.0","2,311.0","0.93%"
"Feb 96","2,316.5","2,293.0","2,342.5","2,290.5","1.07%"
"Jan 96","2,292.0","2,286.0","2,298.0","2,279.0","0.24%"
"Dec 95","2,286.5","2,286.2","2,294.5","2,282.5","0.13%"
"Nov 95","2,283.5","2,270.5","2,289.0","2,264.5","0.55%"
"Oct 95","2,271.0","2,266.0","2,280.0","2,258.0","0.24%"
"Sep 95","2,265.5","2,265.5","2,280.5","2,258.5","-0.04%"
"Aug 95","2,266.5","2,235.8","2,293.5","2,233.5","1.41%"
"Jul 95","2,235.0","2,227.0","2,237.0","2,224.0","0.36%"
"Jun 95","2,227.0","2,227.0","2,233.1","2,223.0","0.02%"
"May 95","2,226.5","2,232.5","2,233.8","2,218.5","-0.29%"
"Apr 95","2,233.0","2,236.5","2,236.5","2,221.5","-0.22%"
"Mar 95","2,238.0","2,216.5","2,238.0","2,213.5","0.97%"
"Feb 95","2,216.5","2,216.5","2,222.3","2,214.0","-0.02%"
"Jan 95","2,217.0","2,196.5","2,226.0","2,194.0","0.86%"
"Dec 94","2,198.0","2,179.3","2,203.0","2,179.3","0.89%"
"Nov 94","2,178.6","2,170.9","2,179.0","2,169.2","0.35%"
"Oct 94","2,171.1","2,175.4","2,177.1","2,166.1","-0.23%"
"Sep 94","2,176.1","2,172.2","2,180.9","2,170.2","0.11%"
"Aug 94","2,173.8","2,164.5","2,181.5","2,158.5","0.39%"
"Jul 94","2,165.4","2,169.6","2,171.4","2,159.4","-0.21%"
"Jun 94","2,170.0","2,164.3","2,170.3","2,164.3","0.27%"
"May 94","2,164.2","2,156.4","2,165.1","2,153.2","0.36%"
"Apr 94","2,156.5","2,154.0","2,160.9","2,152.5","0.07%"
"Mar 94","2,155.0","2,145.5","2,155.0","2,145.5","0.46%"
"Feb 94","2,145.1","2,115.1","2,149.6","2,110.6","1.41%"
"Jan 94","2,115.2","2,096.2","2,122.2","2,096.2","0.19%"
"Dec 93","2,111.2","2,111.2","2,111.2","2,111.2","0.38%"
"Nov 93","2,103.3","2,103.3","2,103.3","2,103.3","0.08%"
"Oct 93","2,101.6","2,101.6","2,101.6","2,101.6","-0.19%"
"Sep 93","2,105.5","2,105.5","2,105.5","2,105.5","0.17%"
"Aug 93","2,102.0","2,102.0","2,102.0","2,102.0","0.29%"
"Jul 93","2,096.0","2,096.0","2,096.0","2,096.0","0.34%"
"Jun 93","2,089.0","2,089.0","2,089.0","2,089.0","0.37%"
"May 93","2,081.4","2,081.4","2,081.4","2,081.4","0.09%"
"Apr 93","2,079.5","2,079.5","2,079.5","2,079.5","0.41%"
"Mar 93","2,071.0","2,071.0","2,071.0","2,071.0","0.19%"
"Feb 93","2,067.0","2,067.0","2,067.0","2,067.0","0.10%"
"Jan 93","2,065.0","2,065.0","2,065.0","2,065.0","-0.12%"
"Dec 92","2,067.5","2,067.5","2,067.5","2,067.5","0.17%"
"Nov 92","2,064.0","2,064.0","2,064.0","2,064.0","0.90%"
"Oct 92","2,045.5","2,045.5","2,045.5","2,045.5","0.37%"
"Sep 92","2,038.0","2,038.0","2,038.0","2,038.0","0.32%"
"Aug 92","2,031.5","2,031.5","2,031.5","2,031.5","0.02%"
"Jul 92","2,031.0","2,031.0","2,031.0","2,031.0","-0.10%"
"Jun 92","2,033.0","2,033.0","2,033.0","2,033.0","0.10%"
"May 92","2,031.0","2,031.0","2,027.5","2,019.5","0.45%"
"Apr 92","2,022.0","2,022.0","2,024.0","2,016.0","0.25%"
"Mar 92","2,017.0","2,017.0","2,018.0","2,010.0","0.40%"
"Feb 92","2,009.0","2,009.0","2,014.5","2,001.0","0.25%"
"Jan 92","2,004.0","2,004.0","2,004.0","1,992.0","0.60%"
"Dec 91","1,992.0","1,992.0","1,996.0","1,984.5","0.40%"
"Nov 91","1,984.0","1,984.0","1,986.0","1,976.0","0.21%"
"Oct 91","1,979.8","1,979.8","1,980.8","1,965.8","0.60%"
"Sep 91","1,968.0","1,968.0","1,974.0","1,963.0","0.20%"
"Aug 91","1,964.0","1,964.0","1,965.0","1,958.0","0.26%"
"Jul 91","1,959.0","1,959.0","1,959.0","1,955.0","0.26%"
"Jun 91","1,954.0","1,954.0","1,954.0","1,954.0","0.36%"
"May 91","1,947.0","1,947.0","1,947.0","1,947.0","0.41%"
"Apr 91","1,939.0","1,939.0","1,939.0","1,939.0","0.36%"
"Mar 91","1,932.0","1,932.0","1,932.0","1,932.0","0.63%"
"Feb 91","1,920.0","1,920.0","1,920.0","1,920.0","0.42%"
"Jan 91","1,912.0","1,912.0","1,912.0","1,912.0","0.58%"
"Dec 90","1,901.0","1,901.0","1,901.0","1,901.0","0.90%"
"Nov 90","1,884.0","1,884.0","1,884.0","1,884.0","5.84%"
